EURAL	EURAL (versie 2014)
	
010101	01 01 01 - déchets provenant de l'extraction des minéraux métallifères
010102	01 01 02 - déchets provenant de l'extraction des minéraux non métallifères
010304*	01 03 04* - stériles acidogènes provenant de la transformation du sulfure
010305*	01 03 05* - autres stériles contenant des substances dangereuses
010306	01 03 06 - stériles autres que ceux visés aux rubriques 01 03 04 et 01 03 05
010307*	01 03 07* - autres déchets contenant des substances dangereuses provenant de la transformation physique et chimique des minéraux métallifères
010308	01 03 08 - déchets de poussières et de poudres autres que ceux visés à la rubrique 01 03 07
010309	01 03 09 - boues rouges issues de la production d'alumine autres que celles visées à la rubrique 01 03 10
010310*	01 03 10* - boues rouges issues de la production d'alumine contenant des substances dangereuses, autres que les déchets visés à la rubrique 01 03 07
010399	01 03 99 - déchets non spécifiés ailleurs
010407*	01 04 07* - déchets contenant des substances dangereuses provenant de la transformation physique et chimique des minéraux non métallifères
010408	01 04 08 - déchets de graviers et débris de pierres autres que ceux visés à la rubrique 01 04 07
010409	01 04 09 - déchets de sable et d'argile
010410	01 04 10 - déchets de poussières et de poudres autres que ceux visés à la rubrique 01 04 07
010411	01 04 11 - déchets de la transformation de la potasse et des sels minéraux autres que ceux visés à la rubrique 01 04 07
010412	01 04 12 - stériles et autres déchets provenant du lavage et du nettoyage des minéraux autres que ceux visés aux rubriques 01 04 07 et 01 04 11
010413	01 04 13 - déchets provenant de la taille et du sciage des pierres autres que ceux visés à la rubrique 01 04 07
010499	01 04 99 - déchets non spécifiés ailleurs
010504	01 05 04 - boues et autres déchets de forage à l'eau douce
010505*	01 05 05* - boues et autres déchets de forage contenant des hydrocarbures
010506*	01 05 06* - boues de forage et autres déchets de forage contenant des substances dangereuses
010507	01 05 07 - boues et autres déchets de forage contenant des sels de baryum, autres que ceux visés aux rubriques 01 05 05 et 01 05 06
010508	01 05 08 - boues et autres déchets de forage contenant des chlorures, autres que ceux visés aux rubriques 01 05 05 et 01 05 06
010599	01 05 99 - déchets non spécifiés ailleurs
020101	02 01 01 - boues provenant du lavage et du nettoyage
020102 - Cat1 - cadavres et parties d’animaux familiers, d’animaux de zoo, d’animaux de cirque et d'animaux sauvages	02 01 02 - Cat1 - cadavres et parties d’animaux familiers, d’animaux de zoo, d’animaux de cirque et d'animaux sauvages
020102 - Cat1 - cadavres d’animaux d'élevage (sensibles aux EST)	02 01 02 - Cat1 - cadavres d’animaux d'élevage (sensibles aux EST)
020102 - Cat1 - cadavres d’animaux d'élevage (non sensibles aux EST)	02 01 02 - Cat1 - cadavres d’animaux d'élevage (non sensibles aux EST)
020102 - Cat1 - autres déchets de tissus animaux	02 01 02 - Cat1 - autres déchets de tissus animaux
020103	02 01 03 - déchets de tissus végétaux
020104	02 01 04 - déchets de matières plastiques (à l'exclusion des emballages)
020106 - Cat2 - lisier	02 01 06 - Cat2 - lisier
020106 - Cat2 - contenu de l'appareil digestif	02 01 06 - Cat2 - contenu de l'appareil digestif
"020106 
"	"02 01 06 - fèces, urine et fumier (y compris paille souillée), effluents, collectés séparément et traités hors site
"
020107	02 01 07 - déchets provenant de la sylviculture
020108*	02 01 08* - déchets agrochimiques contenant des substances dangereuses
020109	02 01 09 - déchets agrochimiques autres que ceux visés à la rubrique 02 01 08
020110	02 01 10 - déchets métalliques
020199	02 01 99 - déchets non spécifiés ailleurs
020201	02 02 01 - boues provenant du lavage et du nettoyage
020202 - Cat3 - carcasses et parties d’animaux non destinés à la consommation humaine, les déchets de découpe	"02 02 02 - Cat3 - carcasses et parties d’animaux non destinés à la consommation humaine, telles que: 
- les déchets de découpe
- les têtes des volailles
- les cuirs et les peaux
- les soies de porcs
- les plumes
- le sang
- les animaux aquatiques
- les œufs et les sous-produits d'œufs"
"020202 - Cat3 - autres déchets d'origine animale
"	"02 02 02 - Cat3- autres déchets d'origine animale
"
020203 - Cat1 - matériels à risque spécifiés 	02 02 03 - Cat1 - matériels à risque spécifiés 
020203 - Cat1 - cadavres ou parties d’animaux morts contenant des matériels à risque spécifiés 	02 02 03 - Cat1 - cadavres ou parties d’animaux morts contenant des matériels à risque spécifiés 
020203 - Cat2 - déchets animaux déclarés impropres à la consommation humaine en raison de la présence de corps étrangers ou contenant des résidus de substances dépassant le niveau autorisé	02 02 03 - Cat2 - déchets animaux déclarés impropres à la consommation humaine en raison de la présence de corps étrangers ou contenant des résidus de substances dépassant le niveau autorisé
020203 - Cat2 - autres déchets d'origine animale ou les mélanges de matières de Cat 2 avec des matières de Cat 3	02 02 03 - Cat2 - autres déchets d'origine animale ou les mélanges de matières de Cat 2 avec des matières de Cat 3
020203 - Cat3 - anciennes denrées alimentaires 	02 02 03 - Cat3 - anciennes denrées alimentaires provenenant du secteur alimentaire
020203 - Cat3 - autres déchets d'origine animale	02 02 03 - Cat3 - autres déchets d'origine animale
020203	02 02 03 - matières impropres à la consommation ou à la transformation
020204 - Cat1 - déchets de traitement des eaux résiduaires	02 02 04 - Cat1 - déchets collectés lors du traitement des eaux résiduaires, auprès des établissements Cat1
020204 - Cat2 - déchets de traitement des eaux résiduaires	02 02 04 - Cat2 - déchets collectés lors du traitement des eaux résiduaires, auprès d'aurtres établissements que Cat1
020204	02 02 04 - boues provenant du traitement in situ des effluents
020299 - Cat1 - produits dérivés	02 02 99 - Cat1 - produits dérivés
020299 - Cat2 - produits dérivés	02 02 99 - Cat2 - produits dérivés
020299 - Cat3 - produits dérivés	02 02 99 - Cat3 - produits dérivés
020299	02 02 99 - déchets non spécifiés ailleurs
020301	02 03 01 - boues provenant du lavage, du nettoyage, de l'épluchage, de la centrifugation et de la séparation
020302	02 03 02 - déchets d'agents de conservation
020303	02 03 03 - déchets de l'extraction aux solvants
020304	02 03 04 - matières impropres à la consommation ou à la transformation
020305	02 03 05 - boues provenant du traitement in situ des effluents
020399	02 03 99 - déchets non spécifiés ailleurs
020401	02 04 01 - terre provenant du lavage et du nettoyage des betteraves
020402	02 04 02 - carbonate de calcium déclassé
020403	02 04 03 - boues provenant du traitement in situ des effluents
020499	02 04 99 - déchets non spécifiés ailleurs
020501 - Cat3 - anciennes denrées alimentaires et SPA provenant de l'industrie laitière	02 05 01 - Cat3 - SPA provenant de l'industrie laitière
020501	02 05 01 - matières impropres à la consommation ou à la transformation
020502 - Cat3 - boues de centrifugeuses ou de séparateurs issues de la transformation du lait	02 05 02 - Cat3 - boues de centrifugeuses ou de séparateurs issues de la transformation du lait
020502	02 05 02 - boues provenant du traitement in situ des effluents
020599	02 05 99 - déchets non spécifiés ailleurs
020601 - Cat 3 - anciennes denrées alimentaires et SPA provenant de l'industrie boulangère	02 06 01 - Cat 3 - SPA provenant de l'industrie boulangère
020601	02 06 01 - matières impropres à la consommation ou à la transformation
020602	02 06 02 - déchets d'agents de conservation
020603	02 06 03 - boues provenant du traitement in situ des effluents
020699	02 06 99 - déchets non spécifiés ailleurs
020701	02 07 01 - déchets provenant du lavage, du nettoyage et de la réduction mécanique des matières premières
020702	02 07 02 - déchets de la distillation de l'alcool
020703	02 07 03 - déchets de traitements chimiques
020704	02 07 04 - matières impropres à la consommation ou à la transformation
020705	02 07 05 - boues provenant du traitement in situ des effluents
020799	02 07 99 - déchets non spécifiés ailleurs
030101	03 01 01 - déchets d'écorce et de liège
030104*	03 01 04* - sciure de bois, copeaux, chutes, bois, panneaux de particules et placages contenant des substances dangereuses
030105	03 01 05 - sciure de bois, copeaux, chutes, bois, panneaux de particules et placages autres que ceux visés à la rubrique 03 01 04
030199	03 01 99 - déchets non spécifiés ailleurs
030201*	03 02 01* - composés organiques non halogénés de protection du bois
030202*	03 02 02* - composés organochlorés de protection du bois
030203*	03 02 03* - composés organométalliques de protection du bois
030204*	03 02 04* - composés inorganiques de protection du bois
030205*	03 02 05* - autres produits de protection du bois contenant des substances dangereuses
030299	03 02 99 - produits de protection du bois non spécifiés ailleurs
030301	03 03 01 - déchets d'écorce et de bois
030302	03 03 02 - liqueurs vertes (provenant de la récupération de liqueur de cuisson)
030305	03 03 05 - boues de désencrage provenant du recyclage du papier
030307	03 03 07 - refus séparés mécaniquement provenant du broyage de déchets de papier et de carton
030308	03 03 08 - déchets provenant du tri de papier et de carton destinés au recyclage
030309	03 03 09 - déchets de boues résiduaires de chaux
030310	03 03 10 - refus fibreux, boues de fibres, de charge et de couchage provenant d'une séparation mécanique
030311	03 03 11 - boues provenant du traitement in situ des effluents autres que celles visées à la rubrique 03 03 10
030399	03 03 99 - déchets non spécifiés ailleurs
